Run#:, 1, Scores:,    black:, 41, white:, 23,   Spread:, 18, Win Score:, 1
Run#:, 2, Scores:,    black:, 35, white:, 29,   Spread:, 6, Win Score:, 1
Run#:, 3, Scores:,    black:, 23, white:, 32,   Spread:, -9, Win Score:, -1
Run#:, 4, Scores:,    black:, 32, white:, 32,   Spread:, 0, Win Score:, 0
Run#:, 5, Scores:,    black:, 27, white:, 36,   Spread:, -9, Win Score:, -1
Run#:, 6, Scores:,    black:, 21, white:, 43,   Spread:, -22, Win Score:, -1
Run#:, 7, Scores:,    black:, 22, white:, 42,   Spread:, -20, Win Score:, -1
Run#:, 8, Scores:,    black:, 27, white:, 36,   Spread:, -9, Win Score:, -1
Run#:, 9, Scores:,    black:, 25, white:, 39,   Spread:, -14, Win Score:, -1
Run#:, 10, Scores:,    black:, 26, white:, 38,   Spread:, -12, Win Score:, -1
Run#:, 11, Scores:,    black:, 30, white:, 34,   Spread:, -4, Win Score:, -1
Run#:, 12, Scores:,    black:, 24, white:, 40,   Spread:, -16, Win Score:, -1
Run#:, 13, Scores:,    black:, 29, white:, 35,   Spread:, -6, Win Score:, -1
Run#:, 14, Scores:,    black:, 36, white:, 27,   Spread:, 9, Win Score:, 1
Run#:, 15, Scores:,    black:, 19, white:, 44,   Spread:, -25, Win Score:, -1
Run#:, 16, Scores:,    black:, 22, white:, 42,   Spread:, -20, Win Score:, -1
Run#:, 17, Scores:,    black:, 31, white:, 33,   Spread:, -2, Win Score:, -1
Run#:, 18, Scores:,    black:, 39, white:, 24,   Spread:, 15, Win Score:, 1
Run#:, 19, Scores:,    black:, 40, white:, 24,   Spread:, 16, Win Score:, 1
Run#:, 20, Scores:,    black:, 41, white:, 22,   Spread:, 19, Win Score:, 1
Run#:, 21, Scores:,    black:, 21, white:, 43,   Spread:, -22, Win Score:, -1
Run#:, 22, Scores:,    black:, 33, white:, 30,   Spread:, 3, Win Score:, 1
Run#:, 23, Scores:,    black:, 37, white:, 26,   Spread:, 11, Win Score:, 1
Run#:, 24, Scores:,    black:, 20, white:, 44,   Spread:, -24, Win Score:, -1
Run#:, 25, Scores:,    black:, 25, white:, 39,   Spread:, -14, Win Score:, -1
Run#:, 26, Scores:,    black:, 43, white:, 20,   Spread:, 23, Win Score:, 1
Run#:, 27, Scores:,    black:, 45, white:, 19,   Spread:, 26, Win Score:, 1
Run#:, 28, Scores:,    black:, 25, white:, 36,   Spread:, -11, Win Score:, -1
Run#:, 29, Scores:,    black:, 25, white:, 38,   Spread:, -13, Win Score:, -1
Run#:, 30, Scores:,    black:, 19, white:, 45,   Spread:, -26, Win Score:, -1
Run#:, 31, Scores:,    black:, 32, white:, 31,   Spread:, 1, Win Score:, 1
Run#:, 32, Scores:,    black:, 40, white:, 23,   Spread:, 17, Win Score:, 1
Run#:, 33, Scores:,    black:, 24, white:, 40,   Spread:, -16, Win Score:, -1
Run#:, 34, Scores:,    black:, 36, white:, 28,   Spread:, 8, Win Score:, 1
Run#:, 35, Scores:,    black:, 18, white:, 46,   Spread:, -28, Win Score:, -1
Run#:, 36, Scores:,    black:, 28, white:, 36,   Spread:, -8, Win Score:, -1
Run#:, 37, Scores:,    black:, 28, white:, 36,   Spread:, -8, Win Score:, -1
Run#:, 38, Scores:,    black:, 27, white:, 37,   Spread:, -10, Win Score:, -1
Run#:, 39, Scores:,    black:, 46, white:, 18,   Spread:, 28, Win Score:, 1
Run#:, 40, Scores:,    black:, 35, white:, 29,   Spread:, 6, Win Score:, 1
Run#:, 41, Scores:,    black:, 26, white:, 37,   Spread:, -11, Win Score:, -1
Run#:, 42, Scores:,    black:, 19, white:, 45,   Spread:, -26, Win Score:, -1
Run#:, 43, Scores:,    black:, 36, white:, 28,   Spread:, 8, Win Score:, 1
Run#:, 44, Scores:,    black:, 47, white:, 17,   Spread:, 30, Win Score:, 1
Run#:, 45, Scores:,    black:, 18, white:, 46,   Spread:, -28, Win Score:, -1
Run#:, 46, Scores:,    black:, 36, white:, 28,   Spread:, 8, Win Score:, 1
Run#:, 47, Scores:,    black:, 29, white:, 34,   Spread:, -5, Win Score:, -1
Run#:, 48, Scores:,    black:, 49, white:, 14,   Spread:, 35, Win Score:, 1
Run#:, 49, Scores:,    black:, 27, white:, 32,   Spread:, -5, Win Score:, -1
Run#:, 50, Scores:,    black:, 29, white:, 35,   Spread:, -6, Win Score:, -1
Run#:, 51, Scores:,    black:, 34, white:, 25,   Spread:, 9, Win Score:, 1
Run#:, 52, Scores:,    black:, 50, white:, 13,   Spread:, 37, Win Score:, 1
Run#:, 53, Scores:,    black:, 33, white:, 30,   Spread:, 3, Win Score:, 1
Run#:, 54, Scores:,    black:, 27, white:, 34,   Spread:, -7, Win Score:, -1
Run#:, 55, Scores:,    black:, 24, white:, 40,   Spread:, -16, Win Score:, -1
Run#:, 56, Scores:,    black:, 37, white:, 27,   Spread:, 10, Win Score:, 1
Run#:, 57, Scores:,    black:, 32, white:, 32,   Spread:, 0, Win Score:, 0
Run#:, 58, Scores:,    black:, 27, white:, 37,   Spread:, -10, Win Score:, -1
Run#:, 59, Scores:,    black:, 29, white:, 35,   Spread:, -6, Win Score:, -1
Run#:, 60, Scores:,    black:, 33, white:, 31,   Spread:, 2, Win Score:, 1
Run#:, 61, Scores:,    black:, 20, white:, 43,   Spread:, -23, Win Score:, -1
Run#:, 62, Scores:,    black:, 12, white:, 52,   Spread:, -40, Win Score:, -1
Run#:, 63, Scores:,    black:, 32, white:, 32,   Spread:, 0, Win Score:, 0
Run#:, 64, Scores:,    black:, 26, white:, 37,   Spread:, -11, Win Score:, -1
Run#:, 65, Scores:,    black:, 30, white:, 34,   Spread:, -4, Win Score:, -1
Run#:, 66, Scores:,    black:, 18, white:, 46,   Spread:, -28, Win Score:, -1
Run#:, 67, Scores:,    black:, 27, white:, 32,   Spread:, -5, Win Score:, -1
Run#:, 68, Scores:,    black:, 20, white:, 44,   Spread:, -24, Win Score:, -1
Run#:, 69, Scores:,    black:, 31, white:, 33,   Spread:, -2, Win Score:, -1
Run#:, 70, Scores:,    black:, 24, white:, 39,   Spread:, -15, Win Score:, -1
Run#:, 71, Scores:,    black:, 25, white:, 39,   Spread:, -14, Win Score:, -1
Run#:, 72, Scores:,    black:, 29, white:, 35,   Spread:, -6, Win Score:, -1
Run#:, 73, Scores:,    black:, 10, white:, 54,   Spread:, -44, Win Score:, -1
Run#:, 74, Scores:,    black:, 25, white:, 39,   Spread:, -14, Win Score:, -1
Run#:, 75, Scores:,    black:, 31, white:, 33,   Spread:, -2, Win Score:, -1
Run#:, 76, Scores:,    black:, 21, white:, 43,   Spread:, -22, Win Score:, -1
Run#:, 77, Scores:,    black:, 28, white:, 36,   Spread:, -8, Win Score:, -1
Run#:, 78, Scores:,    black:, 39, white:, 24,   Spread:, 15, Win Score:, 1
Run#:, 79, Scores:,    black:, 28, white:, 36,   Spread:, -8, Win Score:, -1
Run#:, 80, Scores:,    black:, 34, white:, 30,   Spread:, 4, Win Score:, 1
Run#:, 81, Scores:,    black:, 17, white:, 47,   Spread:, -30, Win Score:, -1
Run#:, 82, Scores:,    black:, 9, white:, 55,   Spread:, -46, Win Score:, -1
Run#:, 83, Scores:,    black:, 21, white:, 43,   Spread:, -22, Win Score:, -1
Run#:, 84, Scores:,    black:, 30, white:, 34,   Spread:, -4, Win Score:, -1
Run#:, 85, Scores:,    black:, 34, white:, 30,   Spread:, 4, Win Score:, 1
Run#:, 86, Scores:,    black:, 37, white:, 27,   Spread:, 10, Win Score:, 1
Run#:, 87, Scores:,    black:, 50, white:, 14,   Spread:, 36, Win Score:, 1
Run#:, 88, Scores:,    black:, 25, white:, 39,   Spread:, -14, Win Score:, -1
Run#:, 89, Scores:,    black:, 16, white:, 48,   Spread:, -32, Win Score:, -1
Run#:, 90, Scores:,    black:, 27, white:, 36,   Spread:, -9, Win Score:, -1
Run#:, 91, Scores:,    black:, 23, white:, 41,   Spread:, -18, Win Score:, -1
Run#:, 92, Scores:,    black:, 12, white:, 5,   Spread:, 7, Win Score:, 1
Run#:, 93, Scores:,    black:, 41, white:, 22,   Spread:, 19, Win Score:, 1
Run#:, 94, Scores:,    black:, 21, white:, 43,   Spread:, -22, Win Score:, -1
Run#:, 95, Scores:,    black:, 36, white:, 28,   Spread:, 8, Win Score:, 1
Run#:, 96, Scores:,    black:, 26, white:, 38,   Spread:, -12, Win Score:, -1
Run#:, 97, Scores:,    black:, 20, white:, 44,   Spread:, -24, Win Score:, -1
Run#:, 98, Scores:,    black:, 18, white:, 46,   Spread:, -28, Win Score:, -1
Run#:, 99, Scores:,    black:, 46, white:, 17,   Spread:, 29, Win Score:, 1
Run#:, 100, Scores:,    black:, 33, white:, 22,   Spread:, 11, Win Score:, 1
Run#:, 101, Scores:,    black:, 22, white:, 42,   Spread:, -20, Win Score:, -1
Run#:, 102, Scores:,    black:, 14, white:, 49,   Spread:, -35, Win Score:, -1
Run#:, 103, Scores:,    black:, 34, white:, 30,   Spread:, 4, Win Score:, 1
Run#:, 104, Scores:,    black:, 41, white:, 23,   Spread:, 18, Win Score:, 1
Run#:, 105, Scores:,    black:, 24, white:, 39,   Spread:, -15, Win Score:, -1
Run#:, 106, Scores:,    black:, 29, white:, 35,   Spread:, -6, Win Score:, -1
Run#:, 107, Scores:,    black:, 22, white:, 42,   Spread:, -20, Win Score:, -1
Run#:, 108, Scores:,    black:, 37, white:, 27,   Spread:, 10, Win Score:, 1
Run#:, 109, Scores:,    black:, 46, white:, 18,   Spread:, 28, Win Score:, 1
